Expocode,Section_ID,Station_number,Cast_number,Bottle_number,Time[UTC],Date,Latitude,Longitude,Depth[m],CTD_Pressure[dbars],CTD_Temperature[ITS-90],Conductivity,Salinity[PSS-78],T_Alk[umol/kg],pH[in-situ],T_C[umol/kg],pCO2[uatm],NO2+NO3[umol/kg],PO4[umol/kg],SiO2[umol/kg],?ar,N:Si,N_Si(Index_A),N_Si(Index_B),delN(expected-measured),delSi (expected-measured),Potential_Alk,C:P_drawdown,N:P_drawdown,Si:P_drawdown,P:P_drawdown,C_drawdown,N_drawdown,Si_drawdown,P_drawdown,N:Si_drawdown,pH(SWS25),pCO2[TEQ 20DEGC],Mean Wind 1 Jun to Occupation[m/s scalar],Mean Wind Week Before Occupation[m/s scalar],Wind at time Occupied[m/s scalar],Wind 24 hr Mean [m/s scalar],del18O,Pw (Surface water vapour pressure)[atm],Pw[mbars],Pb (Barometric pressure)[mbars],xCO2 (ICELAND AVERAGE JUN/JUL)[ppm],Pb[atm],pCO2 atmosphere[atm],Temp[K],CO2 Sol [mol/kg/atm],CO2 Sol [mol/cc/atm],"Sc CO2, seawater [unitless]",KT CO2 ,delta pCO2,flux [mol/m2/h],flux [mol/m2/month],Pb Average [mbars],Pb Average [atm],pCO2 atmosphere average Pb [atm],CO2 Sol average Pb [mol/kg/atm],CO2 Sol average Pb [mol/cc/atm],"Sc CO2, seawater average Pb [(unitless)]",KT CO2 average Pb (cm/hr),delta pCO2 average Pb [atm],flux average Pb [mol/m2/h],flux month average Pb [mol/m2/month],,,,Mean Flux x area [mol/month],median flux x area [mol/month],sd x area,mean flux x area [g/month],median flux x area [g/month],sd,flux [g C/m2/month],,
RFI,A62013,244,1,1,20:47,20130612,64.4504,-32.0303,10.435,10.435,7.5356,-999,35.047,2321.6,8.116,2119.3,324.6,8.44,0.66,2.62,2.2,-999,-1.6374373,-0.268074807,2.12,7.28,2330.04,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8525,551.6,,,,,,,,,,,,280.6856,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,244,1,1,20:47,20130612,64.4504,-32.0303,10.435,10.435,7.5356,-999,35.047,2323.36,8.116,2121,324.8,8.44,0.66,2.62,2.2,-999,-1.6374373,-0.268074807,2.12,7.28,2331.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8525,552.1,,,,,,,,,,,,280.6856,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,244,1,1,20:47,20130612,64.4504,-32.0303,21.141,21.141,7.3869,-999,35.049,2308.73,8.107,2112,329.7,8.73,0.63,2.64,2.13,-999,-1.755570997,-0.343475712,1.35,6.81,2317.46,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8422,563.5,,,,,,,,,,,,280.5369,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,244,1,1,20:47,20130612,64.4504,-32.0303,50.791,50.791,6.9719,-999,35.049,2330.17,8.037,2165.5,398.9,13.38,0.9,5.49,2.13,-999,-1.414953643,0.839131528,1.02,8.01,2343.55,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7705,692.6,,,,,,,,,,,,280.1219,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,244,1,1,20:47,20130612,64.4504,-32.0303,102.084,102.084,6.8623,-999,35.102,2322.81,8.028,2161.6,403.8,14.33,0.96,6.27,1.84,2.551715106,-1.170645736,1.267659277,1.03,8.13,2337.14,103.9523296,17.28605262,11.51028221,1,1465.7871,243.743195,162.30154,14.10057,1.50179225,7.7609,704.5,,,,,,,,,,,,280.0123,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,246,1,1,6:21,20130613,64.4492,-33.5717,5.25,5.25,6.9154,-999,35.056,2321.31,8.058,2149.2,378,11.8,0.78,4.06,1.79,-999,-1.938558945,0.011618688,0.68,7.64,2333.11,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7892,657.9,7.530784314,8.103103448,6.27,5.318,,0.009639995,9.767724841,1009.4,398.4705882,0.996200345,393.1152832,280.0654,0.048700937,4.99E-05,1364,14.97,-15.12,-0.000112922,-0.082432783,1004.323077,0.991189812,391.118733,0.048700937,4.99E-05,1364,14.97,-13.11873296,-9.80E-05,-0.071544387,,,,,,,,,,-0.859248088,,
RFI,A62013,246,1,1,6:21,20130613,64.4492,-33.5717,11.337,11.337,6.9265,-999,35.056,2323.56,8.059,2150.4,376.3,11.84,0.78,4.26,1.92,-999,-1.78057611,0.177253501,0.64,7.44,2335.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7911,654.8,,,,,,,,,,,,280.0765,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,246,1,1,6:21,20130613,64.4492,-33.5717,21.004,21.004,6.9279,-999,35.056,2326.52,8.06,2152.7,375.5,11.86,0.79,4.07,1.93,-999,-1.957820834,-0.014909634,0.78,7.78,2338.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7919,653.6,,,,,,,,,,,,280.0779,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,246,1,1,6:21,20130613,64.4492,-33.5717,49.786,49.786,6.8286,-999,35.055,2312.69,8.055,2141.9,376.9,12.04,0.82,4.32,1.93,-999,-1.821220463,0.168964628,1.08,7.98,2324.73,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7856,658.7,,,,,,,,,,,,279.9786,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,246,1,1,6:21,20130613,64.4492,-33.5717,100.657,100.657,6.8205,-999,35.073,2311.92,8.045,2144.6,384.5,12.81,0.88,5.05,1.83,2.745624918,-1.536798347,0.60850439,1.27,8.15,2324.73,-999,-999,-999,-999,-107.8736,59.644305,57.14925,5.211845,-999,7.7762,672.5,,,,,,,,,,,,279.9705,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,248,1,1,22:17,20130613,63.4481,-36.3097,2.942,2.942,6.8949,-999,35.012,2322.12,8.079,2141.3,357.8,10.91,0.7,3.25,1.89,-999,-2.237471657,-0.475798979,0.29,7.25,2333.03,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8085,624.1,6.912641509,7.375172414,5.45,4.96,,0.009626799,9.754354288,1008.8,398.4705882,0.995608191,392.8845854,280.0449,0.048748224,5.00E-05,1365,13.07,-35.08,-0.000229048,-0.167205399,1004.323077,0.991189812,391.1239911,0.048748224,5.00E-05,1365,13.07,-33.32399107,-0.000217555,-0.158814794,,,,,,,,,,-1.907365676,,
RFI,A62013,248,1,1,22:17,20130613,63.4481,-36.3097,9.891,9.891,6.9336,-999,35.015,2322.13,8.084,2138.5,352.4,10.61,0.7,2.83,1.84,-999,-2.468084184,-0.775318893,0.59,7.67,2332.74,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8141,613.9,,,,,,,,,,,,280.0836,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,248,1,1,22:17,20130613,63.4481,-36.3097,20.436,20.436,6.958,-999,35.017,2323.44,8.084,2139.6,352.6,10.43,0.66,2.58,2,-999,-2.604684555,-0.953155025,0.13,7.32,2333.87,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8141,613.5,,,,,,,,,,,,280.108,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,248,1,1,22:17,20130613,63.4481,-36.3097,50.443,50.443,6.7775,-999,35.018,2319.88,8.067,2144.3,366.7,11.06,0.73,3.05,2.02,-999,-2.484430283,-0.713677372,0.62,7.9,2330.94,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7956,642.5,,,,,,,,,,,,279.9275,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,248,1,1,22:17,20130613,63.4481,-36.3097,101.523,101.523,6.7288,-999,35.016,2319.19,8.063,2144.7,367.8,11.5,0.8,3.96,2.02,3.459420052,-1.886428143,0.011916479,1.3,8.04,2330.69,26.91319621,7.156171296,11.19413205,1,185.6697,49.369245,77.22647,6.898835,0.639278799,7.7916,646.3,,,,,,,,,,,,279.8788,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,249,1,1,3:11,20130614,63.449,-35.0071,3.18,3.18,7.471,-999,34.941,2303.71,8.069,2124.3,364.5,10.21,0.68,4.07,1.98,-999,-1.185136332,0.527524232,0.67,6.13,2313.92,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8085,619.6,6.499444444,6.911724138,5.33,5.658,,0.010010985,10.14363009,1007.6,398.4705882,0.994423884,392.2595869,280.621,0.047804792,4.90E-05,1319,12.09,-27.76,-0.000164509,-0.12009136,1004.323077,0.991189812,390.9709045,0.047804792,4.90E-05,1319,12.09,-26.47090451,-0.000156872,-0.114516363,,,,,,,,,,-1.37534152,,
RFI,A62013,249,1,1,3:11,20130614,63.449,-35.0071,9.233,9.233,7.4679,-999,34.94,2317.61,8.073,2135.9,363.1,10.25,0.7,3.85,1.93,-999,-1.398254116,0.30654761,0.95,6.65,2327.86,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8117,617.7,,,,,,,,,,,,280.6179,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,249,1,1,3:11,20130614,63.449,-35.0071,19.8,19.8,7.3683,-999,34.934,2317.92,8.071,2137.7,364.8,10.16,0.68,3.72,1.9,-999,-1.470972165,0.212962593,0.72,6.48,2328.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.808,623,,,,,,,,,,,,280.5183,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,249,1,1,3:11,20130614,63.449,-35.0071,49.969,49.969,6.5472,-999,35.023,2318.84,8.04,2156.3,393.3,12.98,0.89,6.15,1.98,-999,-0.644478074,1.593301145,1.26,7.2,2331.82,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7665,695.6,,,,,,,,,,,,279.6972,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,249,1,1,3:11,20130614,63.449,-35.0071,100.117,100.117,6.2918,-999,35.043,2325.93,8.028,2168.9,404.5,14.69,0.98,6.63,2.01,2.27936985,-1.021145202,1.49096725,0.99,8.07,2340.62,119.6574537,16.31193962,8.441476718,1,1550.6906,211.393195,109.3966,12.959415,1.93235617,7.7516,723.5,,,,,,,,,,,,279.4418,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,249,1,1,3:11,20130614,63.449,-35.0071,100.117,100.117,6.2918,-999,35.043,2318.43,8.028,2161.5,402.6,14.69,0.98,6.63,1.99,-999,-1.021145202,1.49096725,0.99,8.07,2333.12,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7516,720.1,,,,,,,,,,,,279.4418,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,251,1,1,13:05,20130614,63.448,-33.0452,3.504,3.504,7.9325,-999,34.99,2321.21,8.116,2116.1,324.5,7.17,0.5,0.56,1.81,-999,-2.862864556,-1.802805592,0.83,6.94,2328.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8595,541.4,6.16375,6.026206897,4.77,5.518,,0.010327986,10.46483136,1007.4,398.4705882,0.994226499,392.0546194,281.0825,0.04703974,4.82E-05,1283,11.34,-67.55,-0.000369342,-0.269619866,1004.323077,0.991189812,390.8445889,0.04703974,4.82E-05,1283,11.34,-66.34458893,-0.000362727,-0.264790466,,,,,,,,,,-3.180133497,,
RFI,A62013,251,1,1,13:05,20130614,63.448,-33.0452,9.489,9.489,7.9179,-999,34.988,2324.84,8.118,2118.5,322.9,7.23,0.51,0.6,1.75,-999,-2.855619258,-1.784498862,0.93,7.05,2332.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8613,539.2,,,,,,,,,,,,281.0679,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,251,1,1,13:05,20130614,63.448,-33.0452,18.744,18.744,7.4675,-999,34.99,2319.34,8.108,2121.2,330.3,8.13,0.55,0.67,1.74,-999,-3.215233429,-2.011069406,0.67,7.58,2327.47,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8446,562.4,,,,,,,,,,,,280.6175,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,251,1,1,13:05,20130614,63.448,-33.0452,49.551,49.551,6.3167,-999,35.01,2320.19,8.039,2159.5,394.1,13.27,0.92,6.53,2.23,-999,-0.444525526,1.858294788,1.45,7.27,2333.46,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7626,704.1,,,,,,,,,,,,279.4667,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,251,1,1,13:05,20130614,63.448,-33.0452,100.629,100.629,5.97,-999,35.011,2317.95,8.015,2168.7,416.6,15.93,1.06,7.67,2.24,2.505143895,-0.682913495,2.071034341,1.03,8.23,2333.88,85.63422778,16.395341,12.01223059,1,1868.073,357.65715,262.041525,21.81456,1.364887302,7.7343,755.1,,,,,,,,,,,,279.12,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,253,1,1,23:06,20130614,63.4477,-30.5933,3.172,3.172,8.2469,-999,35.004,2320.03,8.121,2110.5,320.6,6.87,0.58,0.47,2.16,-999,-2.801898026,-1.790322543,2.41,8.23,2326.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8688,528.1,6.240350877,5.642758621,6.58,5.598,,0.010549168,10.68894409,1007.7,398.4705882,0.994522576,392.0844628,281.3969,0.046534123,4.77E-05,1260,11.66,-71.48,-0.000397422,-0.290118269,1004.323077,0.991189812,390.7564544,0.046534123,4.77E-05,1260,11.66,-70.15645438,-0.000390039,-0.284728574,,,,,,,,,,-3.419590174,,
RFI,A62013,253,1,1,23:06,20130614,63.4477,-30.5933,10.615,10.615,8.2467,-999,35.004,2323.5,8.121,2113.3,320.2,6.86,0.6,0.51,1.8,-999,-2.761872174,-1.749245337,2.74,8.49,2330.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8695,527.6,,,,,,,,,,,,281.3967,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,253,1,1,23:06,20130614,63.4477,-30.5933,19.592,19.592,8.2487,-999,35.003,2320.68,8.121,2110.8,320.1,6.77,0.52,0.5,1.68,-999,-2.728561475,-1.729425103,1.55,7.3,2327.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8688,527.1,,,,,,,,,,,,281.3987,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,253,1,1,23:06,20130614,63.4477,-30.5933,50.352,50.352,7.3213,-999,35.045,2321.66,8.056,2146.7,377.8,10.87,0.79,3.53,2.27,-999,-1.971339499,-0.198182656,1.77,8.32,2332.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7942,646.4,,,,,,,,,,,,280.4713,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,253,1,1,23:06,20130614,63.4477,-30.5933,101.692,101.692,6.5313,-999,35.036,2319.33,8.019,2164.6,412.8,14.74,1,6.84,2.28,3.145704065,-0.859009574,1.673274448,1.26,8.16,2334.07,105.4678842,17.87476619,14.67184096,1,2426.22645,411.19845,337.517045,23.00441,1.218304249,7.7474,730.5,,,,,,,,,,,,279.6813,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,255,1,1,8:08,20130615,63.4478,-29.017,4.869,4.869,8.3307,-999,35.067,2324.82,8.103,2122.3,336.8,7.63,0.59,0.27,2.27,-999,-3.334515771,-2.226666299,1.81,8.58,2332.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8536,552.2,6.273728814,5.254482759,3.59,4.382,,0.010608488,10.74905043,1008,398.4705882,0.994818653,392.1788033,281.4807,0.046384769,4.75E-05,1253,11.78,-55.38,-0.000310236,-0.226472504,1004.323077,0.991189812,390.732817,0.046384769,4.75E-05,1253,11.78,-53.93281697,-0.000302136,-0.22055912,,,,,,,,,,-2.648915031,,
RFI,A62013,255,1,1,8:08,20130615,63.4478,-29.017,9.399,9.399,8.3291,-999,35.067,2323.89,8.1,2122.5,338.7,7.71,0.56,0.26,1.93,-999,-3.380814991,-2.262145773,1.25,8.14,2331.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8513,555.2,,,,,,,,,,,,281.4791,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,255,1,1,8:08,20130615,63.4478,-29.017,20.334,20.334,8.3003,-999,35.066,2324.28,8.101,2122.5,337.5,7.97,0.57,0.31,1.73,-999,-3.458392691,-2.299441356,1.15,8.24,2332.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8517,554.1,,,,,,,,,,,,281.4503,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,255,1,1,8:08,20130615,63.4478,-29.017,50.354,50.354,7.5491,-999,35.12,2325.59,8.043,2154.2,391.9,11.62,0.82,4.07,2.21,-999,-1.845430361,0.06970997,1.5,8.23,2337.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7853,663.6,,,,,,,,,,,,280.6991,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,255,1,1,8:08,20130615,63.4478,-29.017,100.458,100.458,7.5261,-999,35.123,2328.68,8.037,2158.9,396,12.28,0.86,4.6,2.2,3.639990714,-1.686210524,0.355456933,1.48,8.3,2340.96,123.9498465,15.33277408,14.55730738,1,1298.0344,160.56872,152.447835,10.472255,1.053269927,7.7796,671.4,,,,,,,,,,,,280.6761,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,257,1,1,16:51,20130615,63.449,-27.153,1.685,1.685,8.6401,-999,35.056,2324.19,8.097,2122.2,342.2,7.48,0.61,1.22,2.2,-999,-2.424877469,-1.279547902,2.28,7.93,2331.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8532,553.6,6.281833333,4.986896552,0.53,1.77,,0.010831539,10.97505658,1010.9,398.4705882,0.99768073,393.2303779,281.7901,0.045903946,4.71E-05,1231,11.91,-51.03,-0.00028603,-0.208801927,1004.323077,0.991189812,390.6439378,0.045903946,4.71E-05,1231,11.91,-48.44393781,-0.000271533,-0.198218943,,,,,,,,,,-2.380609505,,
RFI,A62013,257,1,1,16:51,20130615,63.449,-27.153,10.678,10.678,8.622,-999,35.055,2324.57,8.098,2122.2,341.2,7.51,0.61,1.21,1.9,-999,-2.447762007,-1.298762623,2.25,7.94,2332.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8537,552.5,,,,,,,,,,,,281.772,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,257,1,1,16:51,20130615,63.449,-27.153,21.398,21.398,8.314,-999,35.061,2321.31,8.094,2123.1,344,7.89,0.6,1.26,1.87,-999,-2.581534945,-1.375093352,1.71,7.74,2329.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8447,564.2,,,,,,,,,,,,281.464,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,257,1,1,16:51,20130615,63.449,-27.153,50.881,50.881,7.6332,-999,35.099,2325.57,8.052,2149.7,382.6,10.42,0.77,3.28,2.21,-999,-1.981500588,-0.288099228,1.9,8.27,2335.99,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7953,645.6,,,,,,,,,,,,280.7832,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
RFI,A62013,257,1,1,16:51,20130615,63.449,-27.153,101.016,101.016,7.4825,-999,35.11,2331.23,8.032,2164,402,12.86,0.88,5.02,2.21,3.373211915,-1.586720215,0.56388283,1.22,8.18,2344.09,143.4427439,19.73401898,14.36960949,1,1991.37545,273.96186,199.489265,13.88272,1.373316304,7.7739,683,,,,,,,,,,,,280.6325,,,,,,,,1004.323077,0.991189812,,,,,,,,,,,,,,,,,,,,
